Date,Close/Last,Volume,Open,High,Low
2025-01-10,218.94,36811530,221.46,221.71,216.50
2025-01-08,222.13,25033290,223.19,223.52,220.20
2025-01-07,222.11,28084160,227.90,228.38,221.46
2025-01-06,227.61,31849830,226.78,228.84,224.84
2025-01-03,224.19,27515610,222.51,225.36,221.62
2025-01-02,220.22,33956580,222.03,225.15,218.19
2024-12-31,219.39,24819660,222.97,223.23,218.94
2024-12-30,221.30,28321240,220.06,223.00,218.43
2024-12-27,223.75,27367150,225.60,226.03,220.90
2024-12-26,227.05,16174500,228.50,228.50,226.67
2024-12-24,229.05,15007500,226.94,229.14,226.13
2024-12-23,225.06,28070010,225.01,226.88,223.90
2024-12-20,224.92,88279180,219.84,226.21,218.73
2024-12-19,223.29,39918740,224.91,226.09,222.92
2024-12-18,220.52,43281440,230.77,231.40,220.11
2024-12-17,231.15,35948130,232.39,232.73,227.85
2024-12-16,232.93,37552100,230.23,233.00,228.01
2024-12-13,227.46,28768080,228.40,230.20,225.86
2024-12-12,228.97,28204080,229.83,231.09,227.63
2024-12-11,230.26,35385790,226.41,231.20,226.26
2024-12-10,225.04,31199860,226.09,229.06,224.20
2024-12-09,226.09,46819360,227.21,230.08,225.67
2024-12-06,227.03,44178070,220.75,227.15,220.60
2024-12-05,220.55,41140220,218.03,222.15,217.30
2024-12-04,218.16,48745720,215.96,220.00,215.75
2024-12-03,213.44,32214830,210.31,214.02,209.65
2024-12-02,210.71,39523190,209.96,212.99,209.51
2024-11-29,207.89,24892450,205.83,208.20,204.59
2024-11-27,205.74,28061640,206.98,207.64,205.05
2024-11-26,207.86,41673740,201.90,208.00,201.79
2024-11-25,201.45,40685670,199.28,201.95,199.00
2024-11-22,197.12,31530840,198.25,199.26,196.75
2024-11-21,198.38,58800040,203.49,203.49,195.75
2024-11-20,202.88,32768990,202.98,203.13,199.45
2024-11-19,204.61,31197870,199.33,205.30,198.78
2024-11-18,201.70,36512470,204.15,204.67,200.95
2024-11-15,202.61,86591140,206.76,207.34,199.61
2024-11-14,211.48,42620310,214.16,215.90,210.88
2024-11-13,214.10,46212940,209.40,215.09,209.14
2024-11-12,208.91,38942920,208.37,209.54,206.01
2024-11-11,206.84,35456010,208.50,209.65,205.59
2024-11-08,208.18,36075850,209.72,209.96,207.44
2024-11-07,210.05,52878380,207.44,212.25,207.19
2024-11-06,207.09,72292170,200.01,207.55,199.14
2024-11-05,199.50,30564780,196.04,199.82,195.99
2024-11-04,195.78,38492060,196.45,197.33,194.31
2024-11-01,197.93,99687850,199.00,200.50,197.02
2024-10-31,186.40,75146760,190.51,190.60,185.23
2024-10-30,192.73,37707550,194.70,195.61,192.42
2024-10-29,190.83,35690160,188.58,191.46,187.82
2024-10-28,188.39,27930840,189.57,190.21,188.21
2024-10-25,187.83,29362060,187.85,190.45,187.53
2024-10-24,186.38,21647400,185.25,187.11,183.86
2024-10-23,184.71,31937090,188.85,189.16,183.69
2024-10-22,189.70,29650590,188.35,191.52,186.98
2024-10-21,189.07,24639390,188.05,189.46,186.40
2024-10-18,188.99,37417670,187.15,190.74,186.28
2024-10-17,187.53,25039410,188.22,188.94,186.00
2024-10-16,186.89,23456810,187.05,187.78,185.61
2024-10-15,187.69,32178930,187.63,188.41,184.58
2024-10-14,187.54,22614410,189.78,189.83,187.36
2024-10-11,188.82,25751560,186.63,189.93,186.30
2024-10-10,186.65,27785040,187.13,188.13,185.83
2024-10-09,185.17,26343120,182.82,185.85,182.05
2024-10-08,182.72,26372090,181.92,183.09,180.92
2024-10-07,180.80,42364200,182.95,183.60,180.25
2024-10-04,186.51,41079010,185.75,187.60,183.60
2024-10-03,181.96,30204300,183.05,183.44,180.88
2024-10-02,184.76,23704060,184.44,186.60,184.04
2024-10-01,185.13,36044910,184.90,186.19,183.45
2024-09-30,186.33,41680400,187.14,188.49,184.65
2024-09-27,187.97,36002320,190.68,190.90,187.34
2024-09-26,191.16,36334850,194.31,194.53,189.54
2024-09-25,192.53,26391140,193.75,193.95,192.16
2024-09-24,193.96,43478930,194.27,195.37,190.13
2024-09-23,193.88,36993110,191.64,194.45,190.57
2024-09-20,191.60,100378600,190.23,191.84,187.41
2024-09-19,189.87,39543170,190.04,190.99,188.47
2024-09-18,186.43,34448130,186.45,188.80,185.06
2024-09-17,186.88,26091680,186.85,189.45,186.14
2024-09-16,184.89,26065490,185.29,185.81,183.36
2024-09-13,186.49,26495350,187.00,188.50,185.91
2024-09-12,187.00,33622480,184.80,187.41,183.54
2024-09-11,184.52,42564700,180.10,184.99,175.73
2024-09-10,179.55,36233800,177.49,180.50,176.79
2024-09-09,175.40,29037360,174.53,175.85,173.51
2024-09-06,171.39,41466540,177.24,178.38,171.16
2024-09-05,177.89,40170530,175.00,179.88,175.00
2024-09-04,173.33,30309230,174.48,175.98,172.54
